Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.9812098436174082,0.9805881669185168,0.9833313906049657,0.9819578628797578,0.9980310684731749
Random Forest,0.9855133955630986,0.9853351955307262,0.986828301666861,0.9860811833906005,0.9985015551370082
SVM,0.9835737665171536,0.9838108548800373,0.9846135913276606,0.984212059423245,0.9984978531833437
Naive Bayes,0.9539944235664929,0.9830738818878182,0.9274973773167036,0.954477298626522,0.9942911532242155
